name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Height restriction,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Soft opening date.1,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,Name,year_introduced,latitude,longitude,Type_Main,opening_date_clean,speed1,speed2,speed1_value,speed1_unit,speed,height_value,height_unit,height,Inversions_clean,Gforce_clean,speed_kmh
bizarro (roller coaster),"3,985 ft (1,215 m)",61 mph (98 km/h),six flags great adventure,operating,"april 2, 1999may 23, 2009re-theming",steel,bolliger & mabillard,54 in (137 cm),floorless coaster / medusa,142 ft (43 m),7.0,chain lift hill,"usd15,000,000",3 trains with 8 cars. riders are arranged 4 across in a single row for a total of 32 riders per train.,frontier adventures,2:20,1350 riders per hour,4,werner stengel,90°,132 ft (40 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1999,40.1382,-74.4323,steel,1999-04-02,61 mph,98 km/h,61.0,mph,61.0,142.0,ft,91.2,7,4.0,98.16974
wild eagle,"3,127 ft (953 m)",61 mph (98 km/h),dollywood,operating,"march 24, 2012",steel – wing coaster,bolliger & mabillard,50–78 in (127–198 cm),wing coaster,210 ft (64 m),4.0,chain lift hill,"$20,000,000($22.5 million in 2020 dollars[1])",2 trains with 7 cars. riders are arranged 4 across in a single row for a total of 28 riders per train.,wilderness pass,2:22,1200 riders per hour,4,werner stengel,90°,135 ft (41 m),"march 23, 2012",fast lane available,mine train through nature's wonderland,twister,fastrack available,"march 23, 2012","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2012,35.7947,-83.5301,steel,2012-03-24,61 mph,98 km/h,61.0,mph,61.0,210.0,ft,91.2,4,4.0,98.16974
cheetah hunt,"4,429 ft (1,350 m)",60 mph (97 km/h),busch gardens tampa bay,operating,"may 27, 2011",steel – launched,intamin,48 in (122 cm),boomerang,102 ft (31 m),1.0,lsm launch,$10 million,5 trains with 4 cars. riders are arranged 2 across in 2 rows for a total of 16 riders per train.,crown colony plaza,1:30,1200 riders per hour,4,werner stengel,90°,130 ft (40 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2011,28.0342,-82.42,steel,2011-05-27,60 mph,97 km/h,60.0,mph,60.0,102.0,ft,91.2,1,4.0,96.5604
hades 360,"4,746 ft (1,447 m)",60 mph (97 km/h),mt. olympus water & theme park,operating,"may 14, 2013",wood,the gravity group,48 in (122 cm),boomerang,136 ft (41 m),1.0,chain lift hill,$10 million,single train with 12 cars. riders are arranged 2 across in a single row for a total of 24 riders per train.,planet snoopy,2:20,1200 riders per hour,3.5,werner stengel,65°,140 ft (43 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2005,43.617,-89.7893,wood,2013-05-14,60 mph,97 km/h,60.0,mph,60.0,136.0,ft,91.2,1,3.5,96.5604
kumba (roller coaster),"3,978 ft (1,212 m)",60 mph (97 km/h),busch gardens tampa bay,operating,"april 20, 1993",steel,bolliger & mabillard,54 in (137 cm),sitting coaster,143 ft (44 m),7.0,chain lift hill,$10 million,4(3 max. in use) trains with 8 cars. riders are arranged 4 across in a single row for a total of 32 riders per train.,congo,2:54,"1,700 riders per hour",3.8,werner stengel,90°,135 ft (41 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1993,28.0397,-82.4231,steel,1993-04-20,60 mph,97 km/h,60.0,mph,60.0,143.0,ft,91.2,7,3.8,96.5604
ravine flyer ii,"2,900 ft (880 m)",60 mph (97 km/h),waldameer park,operating,"may 17, 2008",wood,the gravity group,48 in (122 cm),boomerang,85 ft (26 m),0.0,chain,$6 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,1:30,1200 riders per hour,3.5,the gravity group,60°,120 ft (37 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,terrain,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2008,42.1093,-80.157,wood,2008-05-17,60 mph,97 km/h,60.0,mph,60.0,85.0,ft,91.2,0,3.5,96.5604
patriot (worlds of fun),"3,081 ft (939 m)",60 mph (97 km/h),worlds of fun,operating,"april 8, 2006; 15 years ago",steel – inverted,bolliger & mabillard,54 in (137 cm),inverted coaster,149 ft (45 m),4.0,chain lift,"us$14,000,000",2 trains with 7 cars. riders are arranged 4 across in a single row for a total of 28 riders per train.,americana,2:18,1160 riders per hour,4,werner stengel,90°,123 ft (37 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2006,39.1753,-94.4889,steel,2006-04-08,60 mph,97 km/h,60.0,mph,60.0,149.0,ft,91.2,4,4.0,96.5604
zeus (roller coaster),"2,900 ft (880 m)",60 mph (97 km/h),mt. olympus water & theme park,operating,"june 7, 1997",wood,custom coasters international,48 in (122 cm),boomerang,90 ft (27 m),0.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,1:25,1200 riders per hour,4,werner stengel,90°,85 ft (26 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1997,43.6167,-89.7892,wood,1997-06-07,60 mph,97 km/h,60.0,mph,60.0,90.0,ft,91.2,0,4.0,96.5604
montu (roller coaster),"3,983 ft (1,214 m)",60 mph (97 km/h),busch gardens tampa bay,operating,"may 16, 1996",steel – inverted,bolliger & mabillard,54 in (137 cm),inverted coaster – custom,150 ft (46 m),7.0,chain lift hill,"us$20,000,000",3 trains with 8 cars. riders are arranged 4 across in a single row for a total of 32 riders per train.,egypt,3 minutes,"1,710 riders per hour",3.8,werner stengel,50°,128 ft (39 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1996,28.0347,-82.4175,steel,1996-05-16,60 mph,97 km/h,60.0,mph,60.0,150.0,ft,91.2,7,3.8,96.5604
dragon challenge,"3,200 ft (975.4 m)",60 mph (96.6 km/h),other,removed,"may 28, 1999",steel – inverted – dueling,bolliger & mabillard,54 in (137 cm),inverted coaster,125 ft (38.1 m),5.0,chain lift hill,$10 million,several trains with 8 cars. riders are arranged 4 across in a single row for a total of 32 riders per train.,the wizarding world of harry potter (2010-2017) - hogsmeade,2:25,1200 riders per hour,4,werner stengel,90°,115 ft (35.1 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 4, 2017",1895,hagrid's magical creatures motorbike adventure[1],official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2010,28.4736,-81.4733,steel,1999-05-28,60 mph,96.6 km/h,60.0,mph,60.0,125.0,ft,91.2,5,4.0,96.5604
rougarou (roller coaster),"3,900 ft (1,200 m)",60 mph (97 km/h),cedar point,operating,"may 9, 2015",steel – floorless coaster,bolliger & mabillard,54–78 in (137–198 cm),floorless coaster,145 ft (44 m),4.0,chain lift hill,"us$12,000,000",3 trains with 8 cars. riders are arranged 4 across in a single row for a total of 32 riders per train.,millennium midway,2:40,1800 riders per hour,4,werner stengel,52°,137 ft (42 m),"april 29, 2005",fast lane available,mantis,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1996,41.4826,-82.6874,steel,2015-05-09,60 mph,97 km/h,60.0,mph,60.0,145.0,ft,91.2,4,4.0,96.5604
drachen fire,"3,550 ft (1,080 m)",60 mph (97 km/h),busch gardens williamsburg,removed,"april 4, 1992",steel,arrow dynamics,48 in (122 cm),custom looping,150 ft (46 m),5.0,chain lift hill,"$4,000,000",3 trains with 7 cars. riders are arranged 2 across in 2 rows for a total of 28 riders per train.,festhaus park,1:30,1200 riders per hour,4,ron toomer,90°,145 ft (44 m),"april 3, 1992",fast lane available,mine train through nature's wonderland,custom,fastrack available,"april 3, 1992",july 1998,1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1992,37.2306,-76.6444,steel,1992-04-04,60 mph,97 km/h,60.0,mph,60.0,150.0,ft,91.2,5,4.0,96.5604
shock wave (six flags over texas),"3,600 ft (1,100 m)",60 mph (97 km/h),six flags over texas,operating,"april 22, 1978",steel,anton schwarzkopf,42 in (107 cm),custom looping,116 ft (35 m),2.0,chain lift hill,$10 million,7 cars. riders are arranged 2 across in 2 rows for a total of 28 riders per train.,tower,2:00,1200 riders per hour,5.9,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1978,32.7589,-97.0706,steel,1978-04-22,60 mph,97 km/h,60.0,mph,60.0,116.0,ft,91.2,2,5.9,96.5604
the joker's jinx,"2,705 ft (824 m)",60 mph (97 km/h),six flags america,operating,"may 8, 1999",steel – launched,premier rides,54 in (137 cm),lim coaster,78.8 ft (24.0 m),4.0,lim launch,$10 million[1],2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,gotham city,0:56,975 riders per hour,4.5,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 - 60 in 3 seconds,single lap bar,das große lego-rennen,1999,38.91,-76.776,steel,1999-05-08,60 mph,97 km/h,60.0,mph,60.0,78.8,ft,91.2,4,4.5,96.5604
dragon challenge,"3,200 ft (975.4 m)",60 mph (96.6 km/h),other,removed,"may 28, 1999",steel – inverted – dueling,bolliger & mabillard,54 in (137 cm),inverted coaster,125 ft (38.1 m),5.0,chain lift hill,$10 million,several trains with 8 cars. riders are arranged 4 across in a single row for a total of 32 riders per train.,the wizarding world of harry potter (2010-2017) - hogsmeade,2:25,1200 riders per hour,4,werner stengel,90°,115 ft (35.1 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 4, 2017",1895,hagrid's magical creatures motorbike adventure[1],official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1999,28.4736,-81.4733,steel,1999-05-28,60 mph,96.6 km/h,60.0,mph,60.0,125.0,ft,91.2,5,4.0,96.5604
loch ness monster (roller coaster),"3,240 ft (990 m)",60 mph (97 km/h),busch gardens williamsburg,operating,"june 6, 1978",steel,arrow development,48 in (122 cm),custom looping coaster,130 ft (40 m),2.0,two chain lift hills,"$5,000,000[1]",2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,scotland,2:10,800 riders per hour,3.5,ron toomer,55°,114 ft (35 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,terrain,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1978,37.2343,-76.646,steel,1978-06-06,60 mph,97 km/h,60.0,mph,60.0,130.0,ft,91.2,2,3.5,96.5604
gemini (roller coaster),"3,935 ft (1,199.4 m)",60 mph (96.6 km/h),other,operating,"june 17, 1978",steel – dueling – racing,arrow dynamics,48 in (122 cm),special coaster systems,125 ft (38.1 m),0.0,chain,"$3,400,000",4 trains with 5 cars. riders are arranged 2 across in 3 rows for a total of 30 riders per train.,gemini midway,2:40,"3,300 riders per hour",4,ron toomer,55°,118 ft (36.0 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1978,41.4863,-82.6897,steel,1978-06-17,60 mph,96.6 km/h,60.0,mph,60.0,125.0,ft,91.2,0,4.0,96.5604
poltergeist (roller coaster),"2,705 ft (824 m)",60 mph (97 km/h),six flags fiesta texas,operating,"may 28, 1999",steel – launched,premier rides,54 in (137 cm),lim coaster,78.8 ft (24.0 m),4.0,lim launch,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,rockville,1:15,1200 riders per hour,4.5,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,seaside golf,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 60 mph (0 to 97 km/h) in 3.5 seconds,single lap bar,das große lego-rennen,1999,29.5969,-98.6083,steel,1999-05-28,60 mph,97 km/h,60.0,mph,60.0,78.8,ft,91.2,4,4.5,96.5604
